,MoB,MoG,MoR,MeB,MeG,MeR,sdtB,stdG,stdR,MoB2,MoG2,MoR2,MeB2,MeG2,MeR2,sdtB2,stdG2,stdR2,hu1,hu2,hu3,hu4,hu5,hu6,hu7,Ncont,MinArea,MaxArea,ContConv,MinPer,MaxPeri,type,var2,var3,var
11,19.0,50.0,27.0,21.909876845579927,60.13642917458913,36.21460557215915,12.78232692856031,15.570395520548361,15.07718899507765,39.0,118.0,115.0,48.62739926043637,119.14641082910815,112.90118193359176,14.684198209311711,2.5757640131042394,4.027784200590306,0.0012909528527092493,4.515800028528903e-08,1.5022837581964154e-11,2.7534777723192725e-11,-1.3873178117383432e-22,5.4348261759946896e-15,-5.42557277351193e-22,89.0,271608.5,0.5,14.0,2.0,9959.456511259079,1.0,,,
12,9.0,48.0,22.0,13.532692741782,53.455672746532585,29.662156559866983,10.723968272523393,13.621627488568365,14.150772781114805,36.0,118.0,113.0,41.794162384499515,119.39171391435076,112.04113167239835,13.135247330186216,1.7580157547481445,3.838952115335269,0.001277935624768229,4.060724339804685e-08,3.671961770055297e-11,6.494856486748e-11,-1.8711309806587433e-21,-1.2413608649049605e-14,2.561068879129885e-21,10.0,13817.0,1.0,2.0,9.071067690849304,35544.759283065796,1.0,,,
13,8.0,54.0,27.0,13.367005528230886,64.52199056429677,34.7827000072212,12.09130052040724,14.239935796906234,14.423228835777,41.0,117.0,108.0,49.79175860325917,117.27408671860583,107.44701443437934,13.65306623046104,2.180648615412703,3.9336860706168615,0.0017053543758529378,1.768243430484813e-07,9.265125995706037e-10,3.0032989218757277e-10,-1.5429749369308753e-19,-1.0863967528537271e-13,-3.592686616327364e-20,2.0,1496.0,1085.5,0.0,10506.189271211624,21957.870645284653,1.0,,,
14,13.0,51.0,27.0,16.266432724161913,56.75958853261664,31.621765215754603,9.602698951329536,11.290344446607788,10.948104754060491,39.0,118.0,111.0,44.60731264202354,118.73875343219342,112.00798441891217,10.700636626902057,1.8960832059734318,2.714676643151989,0.0018774179308377408,1.6191625609806302e-08,6.315590470964801e-10,1.5010334642387388e-10,1.7490065336209542e-20,-1.27805204330721e-14,-4.277871102545423e-20,7.0,1284.5,3.5,0.0,114.28427064418793,19514.851858139038,1.0,,,
15,15.0,72.0,36.0,19.79973840852262,75.51067308397305,40.97621658156235,11.676376625248484,11.571080306879084,12.768882751849365,54.0,114.0,104.0,58.82407130390373,115.2901836618256,106.00309291469706,11.577505216290481,2.015653807607054,3.197253639653627,0.0016128450714077277,7.330491301183204e-09,3.892604704454031e-10,1.4943732601911663e-10,3.60405253030494e-20,1.094124083170608e-15,-3.2512725373555457e-22,11.0,569.0,2.0,2.0,5.656854152679443,9541.994733810425,1.0,,,
16,19.0,84.0,45.0,21.139944683980396,86.58220965740553,49.33308424339049,10.036396155356005,11.217749802689148,12.684398885488354,65.0,113.0,101.0,67.9757315453331,114.72639615467203,101.58538306011033,11.093169572048472,2.3492604633530374,3.5922789090129954,0.0012281736011375997,5.5895913049856975e-09,5.4844232348475545e-12,2.511039128797668e-11,1.9139886737921331e-22,-1.3060979459167438e-15,2.240553337807227e-22,15.0,2203.5,22.5,3.0,2.0,24406.53621828556,1.0,,,
17,15.0,68.0,35.0,21.89900132832378,75.9960476923515,43.051952870469165,12.7088693058038,13.802436711372074,14.164429140854638,51.0,114.0,105.0,59.953259920970595,115.9264740122581,106.52801121621191,13.423749714391999,1.9083333980028336,3.724442542066039,0.0016195175127968523,2.730048659480854e-08,4.2180300588110046e-10,1.6569797895802734e-10,4.374119135067816e-20,1.4776316112767397e-14,-2.376504737810891e-21,12.0,2250.0,0.5,0.0,38.24264061450958,16257.869974255562,1.0,,,
18,7.0,57.0,28.0,11.812600484368051,64.08691121857383,34.700777786334285,12.509668725632954,13.11232480715744,13.67344227380298,43.0,116.0,107.0,49.3301112852098,117.50321235657158,106.82924847515217,12.888763524664164,1.6818695979633433,3.5907510021381848,0.0018803708264342883,7.462382028382415e-08,4.429316456478152e-10,4.519466451640234e-10,7.083674574744783e-20,5.4202075225008775e-14,1.8939476239983893e-19,7.0,1270875.5,50.0,2.0,9.656854152679443,19132.747168302536,1.0,,,
19,9.0,65.0,30.0,13.79884899989898,73.89970009596928,38.720376426911805,12.174805088414441,15.141705501376665,15.390711719008715,48.0,114.0,104.0,56.509901884028686,115.30797744721689,103.90799954540861,14.471580364258307,2.154773666441059,4.409001534172788,0.0015215538593466333,1.319143171284355e-07,6.028932753120459e-10,9.656656991236397e-11,-1.7019084047475054e-20,6.251787824986136e-15,1.5913894744436763e-20,6.0,2303.0,3.5,2.0,37.071067690849304,42288.47742164135,1.0,,,
20,11.0,68.0,35.0,15.316011322866267,77.7967262433758,44.715678219940095,10.343213603897048,17.51481477844833,16.99598689279812,51.0,115.0,105.0,60.77756492544683,116.52781475264146,102.34868503340904,15.988400584038404,2.581280426005829,6.2012082987225385,0.001241766896593764,6.60386333349288e-08,4.5555322925386966e-10,9.513166044139195e-11,1.9039573898278894e-20,2.1554588953862098e-14,5.4498386085209085e-21,2.0,2099.5,2099.5,0.0,9.656854152679443,30156.926358103752,1.0,,,
21,11.0,49.0,25.0,21.86451617749799,66.21205556014634,37.16604040054989,14.718185722570302,19.897828346236736,16.979181814349467,37.0,118.0,112.0,52.46483845038575,117.09819181622181,110.75126768181373,18.07745476866664,2.9027051528688497,3.909356743206388,0.0014126321227667467,2.8517770577038007e-07,2.6152955312277916e-10,2.1166430777618912e-10,2.9041912705859324e-20,1.0871461993794295e-13,4.045535482002789e-20,3.0,1792.5,177.5,0.0,2325.578979730606,21068.928518652916,1.0,,,
22,18.0,51.0,28.0,18.72997320443187,54.776233511809814,31.25643081586722,9.140480560329536,11.440156727108116,11.06991427419407,40.0,118.0,115.0,43.637270056916485,119.19631789857203,113.90349679754407,10.701041083605679,1.7771006792817365,3.3085168093706048,0.0014804990188501726,4.6969550869141776e-08,1.3804799480198205e-10,1.6554828915376132e-10,2.4923974896947975e-20,3.2949080409207486e-14,-2.264263208617059e-21,4.0,1179.0,9.5,0.0,372.3502856492996,19026.90953350067,1.0,,,
23,3.0,59.0,29.0,8.712215717282168,65.82528844624622,35.34714374450489,11.88246367215195,13.176397114551165,12.889688474565848,44.0,117.0,104.0,50.20021485306871,117.36907316107079,104.61032074922507,12.575165677136273,1.851440661083351,3.536433522614573,0.001698342752203024,9.792679670973123e-09,4.966149056016179e-10,3.6234517227408017e-10,1.5175347158301396e-19,-2.5142325024297596e-14,-2.4427854132261593e-20,4.0,1577.5,19.0,0.0,505.64674842357635,22001.17600953579,1.0,,,
24,12.0,51.0,28.0,15.55847358185563,55.5781113837216,32.17399131840449,10.345836851991082,12.128271613187014,11.700731436198637,40.0,118.0,112.0,44.01226008681596,119.58954844215415,111.94770938810342,11.457735228766978,1.9571079658356059,3.0403444172360747,0.00153710031683246,2.3641788340623678e-08,2.3668305520761123e-10,3.945377822897082e-11,-1.0545914659317574e-21,-4.415299222449909e-15,3.663800876271009e-21,19.0,1588.0,2.0,2.0,2.0,14431.583286046982,1.0,,,
